Date,Hour,Load
20170109,22:00,15762.6
20170109,23:00,14608
20170110,0:00,13922
20170110,1:00,13541.92
20170110,2:00,13386.45
20170110,3:00,13462.33
20170110,4:00,13842.99
20170110,5:00,14930.9
20170110,6:00,16768.15
20170110,7:00,17668.46
20170110,8:00,17741.8
20170110,9:00,17592.51
20170110,10:00,17379.92
20170110,11:00,17136.42
20170110,12:00,16773.81
20170110,13:00,16534.08
20170110,14:00,16406.64
20170110,15:00,16522.2
20170110,16:00,17336.01
20170110,17:00,18195.17
20170110,18:00,17956.92
20170110,19:00,17429.64
20170110,20:00,16675.34
20170110,21:00,15485.11
20170110,22:00,14110.48
20170110,23:00,12855.18
20170111,0:00,12018.6
20170111,1:00,11511.19
20170111,2:00,11268.56
20170111,3:00,11245.04
20170111,4:00,11536.49
20170111,5:00,12505.95
20170111,6:00,14229.3
20170111,7:00,15218.29
20170111,8:00,15096.59
20170111,9:00,14718.92
20170111,10:00,14462.03
20170111,11:00,14279.45
20170111,12:00,14155.36
20170111,13:00,14177.26
20170111,14:00,14283.15
20170111,15:00,14498.97
20170111,16:00,15398.34
20170111,17:00,16465.49
20170111,18:00,16387.73
20170111,19:00,15992.59
20170111,20:00,15362.15
20170111,21:00,14349.35
20170111,22:00,13007.53
20170111,23:00,11869.63
20170112,0:00,11137
20170112,1:00,10721.67
20170112,2:00,10504.54
20170112,3:00,10472.34
20170112,4:00,10771.13
20170112,5:00,11768.58
20170112,6:00,13559.21
20170112,7:00,14598.66
20170112,8:00,14707.38
20170112,9:00,14705.94
20170112,10:00,14622.5
20170112,11:00,14534.24
20170112,12:00,14471.9
20170112,13:00,14464.65
20170112,14:00,14393.68
20170112,15:00,14561.38
20170112,16:00,15260.81
20170112,17:00,16034.25
20170112,18:00,15867.86
20170112,19:00,15397.02
20170112,20:00,14742.1
20170112,21:00,13747.39
20170112,22:00,12484.48
20170112,23:00,11351.88
20170113,0:00,10613.81
20170113,1:00,10191.23
20170113,2:00,9989.21
20170113,3:00,9980.08
20170113,4:00,10294.55
20170113,5:00,11339.41
20170113,6:00,13190.83
20170113,7:00,14253.7
20170113,8:00,14358.73
20170113,9:00,14274.01
20170113,10:00,14232.2
20170113,11:00,14099.18
20170113,12:00,13947.28
20170113,13:00,13956.2
20170113,14:00,14088.32
20170113,15:00,14452.81
20170113,16:00,15369.65
20170113,17:00,16425.97
20170113,18:00,16343.16
20170113,19:00,15998.38
20170113,20:00,15542.14
20170113,21:00,14869.4
20170113,22:00,13937.88
20170113,23:00,13013.88
20170114,0:00,12324.37
20170114,1:00,11955.86
20170114,2:00,11764.21
20170114,3:00,11756.61
20170114,4:00,11924.12
20170114,5:00,12427.26
20170114,6:00,13259.41
20170114,7:00,14090.63
20170114,8:00,14773.78
20170114,9:00,15175.96
20170114,10:00,15191
20170114,11:00,14965.15
20170114,12:00,14795.34
20170114,13:00,14752.87
20170114,14:00,14871.53
20170114,15:00,15124.07
20170114,16:00,15936.51
20170114,17:00,16700.76
20170114,18:00,16518.45
20170114,19:00,16073.46
20170114,20:00,15514.38
20170114,21:00,14799.79
20170114,22:00,13965.41
20170114,23:00,13106.06
20170115,0:00,12298.86
20170115,1:00,11794.13
20170115,2:00,11561.66
20170115,3:00,11515.94
20170115,4:00,11597.94
20170115,5:00,11894.23
20170115,6:00,12453.6
20170115,7:00,13046.23
20170115,8:00,13642.83
20170115,9:00,13902.12
20170115,10:00,13936.4
20170115,11:00,13839.81
20170115,12:00,13693.83
20170115,13:00,13531.73
20170115,14:00,13566.4
20170115,15:00,13961.81
20170115,16:00,14970.16
20170115,17:00,16203.97
20170115,18:00,16220.55
20170115,19:00,15755.43
20170115,20:00,15364.48
20170115,21:00,14685.42
20170115,22:00,13771.96
